"filename", "language", "Java", "comment", "blank", "total"
"d:\School Projects\BasicGraphics-main\FinalProject\src\myFinalProject\FireballSprite.java", "Java", 48, 4, 8, 60
"d:\School Projects\BasicGraphics-main\FinalProject\src\myFinalProject\LoadingScreen.java", "Java", -1, 1, 0, 0
"d:\School Projects\BasicGraphics-main\FinalProject\src\myFinalProject\gamePlayer.java", "Java", 32, 0, 3, 35
"Total", "-", 79, 5, 11, 95
